Question,Answer
"Maximaal 700 euro, all-in","Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
Max 350 ,Noted. I'll show you some artists that fit your criteria
100 euros,Noted. I'll show you some artists that fit your criteria
2290EUR,Understood. I'll show you some artists that fit your criteria.
100,Noted. I'll show you some artists that fit your criteria
"Mir ist bewusst, dass man nicht nur fur den Auftritt zahlt, sondern auch fur die jahrelange Ubung. Aber ich habe keine Preisvorstellung. Klaren Sie mich gerne auf.","Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
300 EUR ,Understood. I'll show you some artists that fit your criteria.
-,Understood. I'll show you some artists that fit your criteria.
"Como seria algo en plan prueba y si tiene aceptacion yo pagaria 100EUR mas la estancia.Cena , dormir y desayuno en mi hosteleria de el artista mas un  acompanante(pareja)    ",Noted. I'll show you some artists that fit your criteria
150EUR?,Understood. I'll show you some artists that fit your criteria.
400,Understood. I'll show you some artists that fit your criteria.
450EUR,Noted. I'll show you some artists that fit your criteria
200EUR,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
Rond de 500 euro,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
500,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
In overleg,Sure thing! I'll show you some artists that fit your criteria.
250 a 300 euro,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
A negocier,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
300 - 600EUR,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
200,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
Barato,Sure thing! I'll show you some artists that fit your criteria.
No lo se,Understood. I'll show you some artists that fit your criteria.
EUR350-EUR400,Sure thing! I'll show you some artists that fit your criteria.
desconozco los precios,Noted. I'll show you some artists that fit your criteria
350/500,Sure thing! I'll show you some artists that fit your criteria.
50-250EUR,Sure thing! I'll show you some artists that fit your criteria.
500,Understood. I'll show you some artists that fit your criteria.
500,Sure thing! I'll show you some artists that fit your criteria.
/,Sure thing! I'll show you some artists that fit your criteria.
800,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
De 500EUR a 700EUR,Understood. I'll show you some artists that fit your criteria.
200EUR,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
300 euro excl.btw,Noted. I'll show you some artists that fit your criteria
EUR 150,Noted. I'll show you some artists that fit your criteria
"tot EUR800,-","Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
400,Sure thing! I'll show you some artists that fit your criteria.
500EUR,Noted. I'll show you some artists that fit your criteria
250,Understood. I'll show you some artists that fit your criteria.
400-600 euros ,Understood. I'll show you some artists that fit your criteria.
200,Sure thing! I'll show you some artists that fit your criteria.
EUR 350,Sure thing! I'll show you some artists that fit your criteria.
offerte aanvraag,Sure thing! I'll show you some artists that fit your criteria.
"EUR500,-/EUR750,-",Understood. I'll show you some artists that fit your criteria.
maximo 1.000 euros,Sure thing! I'll show you some artists that fit your criteria.
300,Understood. I'll show you some artists that fit your criteria.
1000,Noted. I'll show you some artists that fit your criteria
ca 500 Euro,Noted. I'll show you some artists that fit your criteria
900 drank en iets te eten,Understood. I'll show you some artists that fit your criteria.
"max. 800,- EUR ?  PA kann ggf. gestellt werden  ",Understood. I'll show you some artists that fit your criteria.
800EUR,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
850-1000,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
500 euro ,Understood. I'll show you some artists that fit your criteria.
Rond de 300 euro,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
EUR 300,Noted. I'll show you some artists that fit your criteria
EUR50-EUR100,Noted. I'll show you some artists that fit your criteria
750 euro,Understood. I'll show you some artists that fit your criteria.
300,Understood. I'll show you some artists that fit your criteria.
800+iva,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
500-800 euro,Sure thing! I'll show you some artists that fit your criteria.
Max. EUR 600,Understood. I'll show you some artists that fit your criteria.
tot 400 euro,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
?,Noted. I'll show you some artists that fit your criteria
A voir directement avec l'artiste,Understood. I'll show you some artists that fit your criteria.
Negociable ,Noted. I'll show you some artists that fit your criteria
Bespreekbaar ,Understood. I'll show you some artists that fit your criteria.
Gratis,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
300,Sure thing! I'll show you some artists that fit your criteria.
Tot max 500,Noted. I'll show you some artists that fit your criteria
entre 600EUR y 800EUR,Noted. I'll show you some artists that fit your criteria
200 Mac 220,Noted. I'll show you some artists that fit your criteria
500EUR 1000EUR,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
 300,Understood. I'll show you some artists that fit your criteria.
Max 200 euro ,Noted. I'll show you some artists that fit your criteria
4000,Understood. I'll show you some artists that fit your criteria.
A acordar en funcion del servicio ofrecido,Noted. I'll show you some artists that fit your criteria
100EUR,Sure thing! I'll show you some artists that fit your criteria.
1000,Understood. I'll show you some artists that fit your criteria.
200,Noted. I'll show you some artists that fit your criteria
EUR100-400,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
1.000 - 1.500EUR,Sure thing! I'll show you some artists that fit your criteria.
"300,-",Understood. I'll show you some artists that fit your criteria.
Wij bieden geen geld maar promotie b.v. voor optredens of nieuwe releases ,Sure thing! I'll show you some artists that fit your criteria.
100 mas o menos,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
300,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
800,Understood. I'll show you some artists that fit your criteria.
1.000 EUR,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
100EUR ,Understood. I'll show you some artists that fit your criteria.
+- 150,Understood. I'll show you some artists that fit your criteria.
"Valt nog te overleggen, maar wij hopen op een studentenprijsje. ",Sure thing! I'll show you some artists that fit your criteria.
250-300,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
"Prefiero q digan ellos un presupuesto,pues no se q suelen cobrar",Sure thing! I'll show you some artists that fit your criteria.
100,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
300-500,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
Ligt eraan,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
Bied maar aan,Sure thing! I'll show you some artists that fit your criteria.
150/200,Sure thing! I'll show you some artists that fit your criteria.
200,Sure thing! I'll show you some artists that fit your criteria.
250,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
500EUR,Noted. I'll show you some artists that fit your criteria
+/- 300 EUR ,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
"Tot EUR1500,-",Sure thing! I'll show you some artists that fit your criteria.
450-500,Sure thing! I'll show you some artists that fit your criteria.
EUR750,Understood. I'll show you some artists that fit your criteria.
600,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
EUR300 totaal,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
350,Sure thing! I'll show you some artists that fit your criteria.
Tot 350 euro,Noted. I'll show you some artists that fit your criteria
700 excl installatie ,Noted. I'll show you some artists that fit your criteria
VB ,Sure thing! I'll show you some artists that fit your criteria.
1000,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
